,food_type,temperature,hours_already_spent,risk
40,Gravy-based veg curries,cool temperature(approx. 18 C),6.87,very high
41,Dairy-based curries,room temperature(more than 25 C),3.36,very high
42,Gravy-based veg curries,room temperature(more than 25 C),8.24,very high
43,Fried items,cool temperature(approx. 18 C),5.2,low
44,Dairy-based curries,refrigerated temperature,8.53,low
45,Dal/lentils,cool temperature(approx. 18 C),7.15,very high
46,Dairy-based curries,room temperature(more than 25 C),10.15,very high
47,Fried items,cool temperature(approx. 18 C),1.32,low
48,Dal/lentils,refrigerated temperature,7.48,low
49,Fresh breads,refrigerated temperature,10.17,low
50,Cooked rice dish,room temperature(more than 25 C),9.11,very high
51,Gravy-based veg curries,cool temperature(approx. 18 C),0.48,medium
52,Dry vegetable dishes,room temperature(more than 25 C),1.31,medium
53,Non-veg curries,room temperature(more than 25 C),1.62,very high
54,Dry vegetable dishes,cool temperature(approx. 18 C),9.78,high
55,Non-veg curries,room temperature(more than 25 C),9.11,very high
56,Sweets,room temperature(more than 25 C),5.59,very high
57,Dal/lentils,cool temperature(approx. 18 C),2.64,medium
58,Non-veg curries,refrigerated temperature,7.05,low
59,Dairy-based curries,cool temperature(approx. 18 C),1.52,high
60,Non-veg curries,room temperature(more than 25 C),5.84,very high
61,Cooked rice dish,cool temperature(approx. 18 C),3.04,very high
62,Gravy-based veg curries,room temperature(more than 25 C),9.11,very high
63,Dal/lentils,room temperature(more than 25 C),9.56,very high
64,Sweets,cool temperature(approx. 18 C),5.24,medium
65,Dairy-based curries,cool temperature(approx. 18 C),11.03,very high
66,Dairy-based curries,cool temperature(approx. 18 C),11.97,very high
67,Non-veg curries,room temperature(more than 25 C),2.89,very high
68,Cooked rice dish,room temperature(more than 25 C),11.12,very high
69,Dry vegetable dishes,room temperature(more than 25 C),1.58,medium
70,Dairy-based curries,cool temperature(approx. 18 C),5.92,very high
71,Cooked rice dish,refrigerated temperature,5.88,low
72,Dry vegetable dishes,refrigerated temperature,1.44,low
73,Gravy-based veg curries,room temperature(more than 25 C),8.18,very high
74,Dry vegetable dishes,refrigerated temperature,3.15,low
75,Fresh breads,refrigerated temperature,9.63,low
76,Cooked rice dish,cool temperature(approx. 18 C),9.36,very high
77,Dal/lentils,cool temperature(approx. 18 C),8.4,very high
78,Fresh breads,refrigerated temperature,4.59,low
79,Fried items,cool temperature(approx. 18 C),7.05,low
80,Sweets,room temperature(more than 25 C),9.02,very high
81,Fresh breads,room temperature(more than 25 C),5.24,high
82,Dry vegetable dishes,refrigerated temperature,10.43,low
83,Fresh breads,refrigerated temperature,0.35,low
84,Gravy-based veg curries,room temperature(more than 25 C),4.84,very high
85,Sweets,refrigerated temperature,4.78,low
86,Sweets,cool temperature(approx. 18 C),4.38,medium
87,Cooked rice dish,cool temperature(approx. 18 C),5.12,very high
88,Fried items,room temperature(more than 25 C),7.47,very high
89,Dairy-based curries,cool temperature(approx. 18 C),3.58,very high
90,Dry vegetable dishes,room temperature(more than 25 C),5.58,very high
91,Dry vegetable dishes,refrigerated temperature,3.57,low
92,Non-veg curries,refrigerated temperature,2.29,low
93,Cooked rice dish,room temperature(more than 25 C),4.2,very high
94,Fresh breads,cool temperature(approx. 18 C),4.07,medium
95,Sweets,room temperature(more than 25 C),1.77,high
96,Non-veg curries,refrigerated temperature,7.72,low
97,Dairy-based curries,cool temperature(approx. 18 C),10.78,very high
98,Cooked rice dish,refrigerated temperature,2.37,low
99,Fried items,refrigerated temperature,2.25,low
100,Dairy-based curries,room temperature(more than 25 C),0.34,high
101,Non-veg curries,cool temperature(approx. 18 C),2.54,very high
102,Dairy-based curries,refrigerated temperature,8.15,low
103,Dal/lentils,room temperature(more than 25 C),6.66,very high
104,Dry vegetable dishes,cool temperature(approx. 18 C),8.24,high
105,Dry vegetable dishes,refrigerated temperature,0.95,low
106,Dairy-based curries,cool temperature(approx. 18 C),0.86,high
107,Cooked rice dish,cool temperature(approx. 18 C),9.37,very high
108,Dairy-based curries,cool temperature(approx. 18 C),0.69,high
109,Dal/lentils,cool temperature(approx. 18 C),7.88,very high
110,Fried items,refrigerated temperature,9.8,low
111,Gravy-based veg curries,cool temperature(approx. 18 C),7.28,very high
112,Dal/lentils,cool temperature(approx. 18 C),9.63,very high
113,Cooked rice dish,room temperature(more than 25 C),1.25,very high
114,Fresh breads,refrigerated temperature,7.05,low
115,Non-veg curries,cool temperature(approx. 18 C),2.65,very high
116,Dal/lentils,refrigerated temperature,4.71,low
117,Dal/lentils,cool temperature(approx. 18 C),2.61,medium
118,Cooked rice dish,refrigerated temperature,1.13,low
119,Dry vegetable dishes,refrigerated temperature,0.98,low
120,Gravy-based veg curries,refrigerated temperature,9.49,low
121,Sweets,cool temperature(approx. 18 C),8.17,high
122,Dry vegetable dishes,refrigerated temperature,5.01,low
123,Fried items,cool temperature(approx. 18 C),4.73,low
124,Fresh breads,room temperature(more than 25 C),3.39,medium
125,Dal/lentils,room temperature(more than 25 C),11.15,very high
126,Sweets,cool temperature(approx. 18 C),5.13,medium
127,Dal/lentils,room temperature(more than 25 C),1.15,high
128,Fried items,refrigerated temperature,10.29,low
129,Dal/lentils,room temperature(more than 25 C),11.94,very high
130,Gravy-based veg curries,refrigerated temperature,1.39,low
131,Non-veg curries,cool temperature(approx. 18 C),2.24,very high
132,Dry vegetable dishes,cool temperature(approx. 18 C),8.08,high
133,Fried items,room temperature(more than 25 C),7.97,very high
134,Dry vegetable dishes,room temperature(more than 25 C),7.97,very high
135,Sweets,room temperature(more than 25 C),11.23,very high
136,Cooked rice dish,refrigerated temperature,4.18,low
137,Dal/lentils,room temperature(more than 25 C),10.55,very high
138,Dairy-based curries,refrigerated temperature,2.48,low
139,Fried items,room temperature(more than 25 C),9.54,very high
140,Cooked rice dish,refrigerated temperature,11.87,low
141,Non-veg curries,cool temperature(approx. 18 C),2.35,very high
142,Dry vegetable dishes,cool temperature(approx. 18 C),11.26,very high
143,Dairy-based curries,refrigerated temperature,3.5,low
144,Dal/lentils,refrigerated temperature,11.02,low
145,Non-veg curries,room temperature(more than 25 C),1.6,very high
146,Fried items,room temperature(more than 25 C),5.84,high
147,Sweets,room temperature(more than 25 C),0.17,medium
148,Sweets,room temperature(more than 25 C),7.84,very high
149,Dal/lentils,cool temperature(approx. 18 C),2.0,medium
150,Dal/lentils,cool temperature(approx. 18 C),8.21,very high
151,Gravy-based veg curries,cool temperature(approx. 18 C),8.89,very high
152,Gravy-based veg curries,room temperature(more than 25 C),5.79,very high
153,Gravy-based veg curries,refrigerated temperature,9.84,low
154,Sweets,room temperature(more than 25 C),10.91,very high
155,Dal/lentils,cool temperature(approx. 18 C),5.67,high
156,Fresh breads,cool temperature(approx. 18 C),0.21,low
157,Dairy-based curries,refrigerated temperature,9.01,low
158,Sweets,refrigerated temperature,10.99,low
159,Fresh breads,refrigerated temperature,11.38,low
160,Sweets,room temperature(more than 25 C),9.15,very high
161,Dal/lentils,cool temperature(approx. 18 C),6.86,very high
162,Fresh breads,refrigerated temperature,5.78,low
163,Sweets,cool temperature(approx. 18 C),1.89,low
164,Dairy-based curries,room temperature(more than 25 C),8.7,very high
165,Sweets,refrigerated temperature,3.03,low
166,Fresh breads,room temperature(more than 25 C),8.29,very high
167,Cooked rice dish,room temperature(more than 25 C),8.33,very high
168,Cooked rice dish,cool temperature(approx. 18 C),0.33,high
169,Dry vegetable dishes,cool temperature(approx. 18 C),0.32,low
170,Fresh breads,cool temperature(approx. 18 C),5.66,medium
171,Fried items,room temperature(more than 25 C),7.56,very high
172,Non-veg curries,refrigerated temperature,5.38,low
173,Dal/lentils,room temperature(more than 25 C),4.26,very high
174,Gravy-based veg curries,refrigerated temperature,4.05,low
175,Fried items,refrigerated temperature,10.85,low
176,Fresh breads,room temperature(more than 25 C),6.79,very high
177,Cooked rice dish,room temperature(more than 25 C),4.38,very high
178,Cooked rice dish,room temperature(more than 25 C),11.81,very high
179,Dry vegetable dishes,cool temperature(approx. 18 C),9.77,high
180,Dal/lentils,room temperature(more than 25 C),5.95,very high
181,Fresh breads,room temperature(more than 25 C),9.3,very high
182,Gravy-based veg curries,room temperature(more than 25 C),3.57,very high
183,Sweets,room temperature(more than 25 C),11.73,very high
184,Gravy-based veg curries,refrigerated temperature,0.46,low
185,Fresh breads,cool temperature(approx. 18 C),0.16,low
186,Dry vegetable dishes,refrigerated temperature,8.06,low
187,Fresh breads,room temperature(more than 25 C),8.65,very high
188,Fried items,refrigerated temperature,11.61,low
189,Non-veg curries,refrigerated temperature,9.01,low
190,Fried items,refrigerated temperature,2.16,low
191,Dal/lentils,refrigerated temperature,9.66,low
192,Fresh breads,refrigerated temperature,2.94,low
193,Dry vegetable dishes,cool temperature(approx. 18 C),11.07,very high
194,Non-veg curries,cool temperature(approx. 18 C),11.1,very high
195,Dairy-based curries,room temperature(more than 25 C),2.01,very high
196,Dal/lentils,cool temperature(approx. 18 C),11.39,very high
197,Fresh breads,refrigerated temperature,4.11,low
198,Sweets,refrigerated temperature,8.27,low
199,Sweets,refrigerated temperature,6.01,low
200,Fresh breads,refrigerated temperature,9.01,low
201,Non-veg curries,refrigerated temperature,3.64,low
202,Gravy-based veg curries,cool temperature(approx. 18 C),6.71,very high
203,Dairy-based curries,refrigerated temperature,5.39,low
204,Dairy-based curries,cool temperature(approx. 18 C),7.53,very high
205,Dairy-based curries,cool temperature(approx. 18 C),4.28,very high
206,Dal/lentils,refrigerated temperature,11.9,low
207,Gravy-based veg curries,room temperature(more than 25 C),4.57,very high
208,Cooked rice dish,refrigerated temperature,6.94,low
209,Gravy-based veg curries,room temperature(more than 25 C),2.88,very high
210,Sweets,refrigerated temperature,4.54,low
211,Gravy-based veg curries,refrigerated temperature,7.54,low
212,Dairy-based curries,cool temperature(approx. 18 C),5.99,very high
213,Fried items,cool temperature(approx. 18 C),6.3,low
214,Sweets,room temperature(more than 25 C),1.5,high
215,Cooked rice dish,refrigerated temperature,5.84,low
216,Dry vegetable dishes,cool temperature(approx. 18 C),1.12,low
217,Dairy-based curries,cool temperature(approx. 18 C),11.98,very high
218,Dry vegetable dishes,cool temperature(approx. 18 C),11.74,very high
219,Dairy-based curries,room temperature(more than 25 C),9.3,very high
220,Dry vegetable dishes,cool temperature(approx. 18 C),4.58,medium
221,Dry vegetable dishes,room temperature(more than 25 C),9.39,very high
222,Gravy-based veg curries,room temperature(more than 25 C),4.44,very high
223,Dairy-based curries,cool temperature(approx. 18 C),11.8,very high
224,Fresh breads,refrigerated temperature,5.46,low
225,Dry vegetable dishes,cool temperature(approx. 18 C),9.11,high
226,Fried items,room temperature(more than 25 C),3.47,medium
227,Non-veg curries,room temperature(more than 25 C),7.71,very high
228,Dry vegetable dishes,refrigerated temperature,4.17,low
229,Non-veg curries,cool temperature(approx. 18 C),2.99,very high
230,Dairy-based curries,cool temperature(approx. 18 C),6.48,very high
231,Sweets,room temperature(more than 25 C),8.27,very high
232,Non-veg curries,room temperature(more than 25 C),9.0,very high
233,Sweets,room temperature(more than 25 C),6.12,very high
234,Dairy-based curries,room temperature(more than 25 C),1.62,very high
235,Dal/lentils,refrigerated temperature,11.23,low
236,Gravy-based veg curries,refrigerated temperature,1.87,low
237,Sweets,refrigerated temperature,10.81,low
238,Gravy-based veg curries,room temperature(more than 25 C),3.81,very high
239,Cooked rice dish,refrigerated temperature,4.91,low
240,Fresh breads,refrigerated temperature,0.33,low
241,Gravy-based veg curries,refrigerated temperature,6.41,low
242,Dairy-based curries,cool temperature(approx. 18 C),9.81,very high
243,Dry vegetable dishes,room temperature(more than 25 C),0.25,medium
244,Dal/lentils,cool temperature(approx. 18 C),10.79,very high
245,Dairy-based curries,room temperature(more than 25 C),8.32,very high
246,Fresh breads,room temperature(more than 25 C),1.18,medium
247,Sweets,room temperature(more than 25 C),9.72,very high
248,Dairy-based curries,room temperature(more than 25 C),4.15,very high
249,Sweets,room temperature(more than 25 C),1.89,high
250,Dairy-based curries,room temperature(more than 25 C),7.82,very high
251,Gravy-based veg curries,room temperature(more than 25 C),1.61,high
252,Fresh breads,cool temperature(approx. 18 C),2.26,low
253,Gravy-based veg curries,refrigerated temperature,4.42,low
254,Fried items,refrigerated temperature,9.01,low
255,Cooked rice dish,cool temperature(approx. 18 C),1.23,high
256,Dal/lentils,refrigerated temperature,10.43,low
257,Dry vegetable dishes,cool temperature(approx. 18 C),8.04,high
258,Gravy-based veg curries,refrigerated temperature,6.09,low
259,Dry vegetable dishes,room temperature(more than 25 C),6.5,very high
260,Gravy-based veg curries,refrigerated temperature,10.78,low
261,Fried items,refrigerated temperature,8.1,low
262,Cooked rice dish,refrigerated temperature,9.71,low
263,Fried items,room temperature(more than 25 C),2.23,medium
264,Cooked rice dish,cool temperature(approx. 18 C),5.54,very high
265,Gravy-based veg curries,cool temperature(approx. 18 C),9.63,very high
266,Dry vegetable dishes,room temperature(more than 25 C),5.8,very high
267,Dry vegetable dishes,cool temperature(approx. 18 C),6.78,medium
268,Dairy-based curries,room temperature(more than 25 C),9.26,very high
269,Cooked rice dish,cool temperature(approx. 18 C),7.78,very high
270,Cooked rice dish,room temperature(more than 25 C),1.76,very high
271,Cooked rice dish,cool temperature(approx. 18 C),9.35,very high
272,Cooked rice dish,room temperature(more than 25 C),6.17,very high
273,Dairy-based curries,cool temperature(approx. 18 C),10.68,very high
274,Dry vegetable dishes,room temperature(more than 25 C),10.24,very high
275,Gravy-based veg curries,room temperature(more than 25 C),8.84,very high
276,Cooked rice dish,refrigerated temperature,4.49,low
277,Dairy-based curries,room temperature(more than 25 C),1.53,very high
278,Sweets,cool temperature(approx. 18 C),3.74,low
279,Dry vegetable dishes,cool temperature(approx. 18 C),0.27,low
280,Fresh breads,cool temperature(approx. 18 C),11.82,very high
281,Cooked rice dish,refrigerated temperature,3.86,low
282,Dry vegetable dishes,cool temperature(approx. 18 C),7.32,medium
283,Fresh breads,cool temperature(approx. 18 C),9.28,high
284,Gravy-based veg curries,room temperature(more than 25 C),10.03,very high
285,Cooked rice dish,room temperature(more than 25 C),10.69,very high
286,Dry vegetable dishes,refrigerated temperature,9.58,low
287,Gravy-based veg curries,room temperature(more than 25 C),8.38,very high
288,Dry vegetable dishes,room temperature(more than 25 C),10.74,very high
289,Dairy-based curries,cool temperature(approx. 18 C),0.41,high
290,Dal/lentils,refrigerated temperature,2.28,low
291,Fresh breads,room temperature(more than 25 C),5.3,high
292,Fresh breads,refrigerated temperature,4.13,low
293,Dry vegetable dishes,room temperature(more than 25 C),2.46,high
294,Fried items,room temperature(more than 25 C),0.92,medium
295,Fresh breads,cool temperature(approx. 18 C),5.7,medium
296,Sweets,room temperature(more than 25 C),11.61,very high
297,Gravy-based veg curries,cool temperature(approx. 18 C),10.97,very high
298,Non-veg curries,refrigerated temperature,4.4,low
299,Dry vegetable dishes,room temperature(more than 25 C),6.23,very high
300,Dairy-based curries,cool temperature(approx. 18 C),9.58,very high
301,Sweets,room temperature(more than 25 C),4.41,very high
302,Fresh breads,room temperature(more than 25 C),1.03,medium
303,Dal/lentils,refrigerated temperature,8.74,low
304,Fried items,refrigerated temperature,2.71,low
305,Sweets,cool temperature(approx. 18 C),6.25,medium
306,Dairy-based curries,room temperature(more than 25 C),0.47,high
307,Cooked rice dish,room temperature(more than 25 C),1.78,very high
308,Gravy-based veg curries,cool temperature(approx. 18 C),3.29,medium
309,Fresh breads,room temperature(more than 25 C),9.69,very high
310,Fried items,refrigerated temperature,6.64,low
311,Fried items,cool temperature(approx. 18 C),8.65,low
312,Cooked rice dish,cool temperature(approx. 18 C),6.92,very high
313,Gravy-based veg curries,cool temperature(approx. 18 C),3.98,medium
314,Dal/lentils,refrigerated temperature,1.72,low
315,Fresh breads,refrigerated temperature,11.74,low
316,Fresh breads,refrigerated temperature,3.34,low
317,Cooked rice dish,cool temperature(approx. 18 C),5.18,very high
318,Fresh breads,refrigerated temperature,6.43,low
319,Fried items,refrigerated temperature,6.62,low
320,Fried items,room temperature(more than 25 C),8.4,very high
321,Fried items,cool temperature(approx. 18 C),7.27,low
322,Cooked rice dish,refrigerated temperature,10.91,low
323,Gravy-based veg curries,cool temperature(approx. 18 C),8.63,very high
324,Fresh breads,cool temperature(approx. 18 C),1.26,low
325,Dal/lentils,refrigerated temperature,0.47,low
326,Sweets,cool temperature(approx. 18 C),5.84,medium
327,Dairy-based curries,refrigerated temperature,8.86,low
328,Cooked rice dish,room temperature(more than 25 C),3.51,very high
329,Non-veg curries,cool temperature(approx. 18 C),9.93,very high
330,Cooked rice dish,refrigerated temperature,6.14,low
331,Dry vegetable dishes,refrigerated temperature,8.87,low
332,Non-veg curries,refrigerated temperature,10.42,low
333,Sweets,room temperature(more than 25 C),7.07,very high
334,Dal/lentils,room temperature(more than 25 C),8.37,very high
335,Dairy-based curries,room temperature(more than 25 C),5.84,very high
336,Dal/lentils,room temperature(more than 25 C),4.46,very high
337,Dal/lentils,refrigerated temperature,10.75,low
338,Cooked rice dish,refrigerated temperature,6.41,low
339,Dairy-based curries,cool temperature(approx. 18 C),2.34,very high
340,Fried items,cool temperature(approx. 18 C),0.62,low
341,Dal/lentils,refrigerated temperature,5.96,low
342,Non-veg curries,refrigerated temperature,5.53,low
343,Dairy-based curries,cool temperature(approx. 18 C),3.18,very high
344,Cooked rice dish,room temperature(more than 25 C),8.9,very high
345,Sweets,cool temperature(approx. 18 C),2.74,low
346,Dairy-based curries,refrigerated temperature,5.32,low
347,Gravy-based veg curries,refrigerated temperature,4.17,low
348,Cooked rice dish,refrigerated temperature,8.86,low
349,Gravy-based veg curries,refrigerated temperature,9.45,low
350,Gravy-based veg curries,room temperature(more than 25 C),7.68,very high
351,Non-veg curries,cool temperature(approx. 18 C),9.04,very high
352,Cooked rice dish,cool temperature(approx. 18 C),4.53,very high
353,Fried items,cool temperature(approx. 18 C),6.57,low
354,Gravy-based veg curries,room temperature(more than 25 C),4.18,very high
355,Fresh breads,cool temperature(approx. 18 C),1.53,low
356,Dal/lentils,refrigerated temperature,10.19,low
357,Dry vegetable dishes,cool temperature(approx. 18 C),9.74,high
358,Dal/lentils,room temperature(more than 25 C),4.92,very high
359,Cooked rice dish,refrigerated temperature,7.77,low
360,Dry vegetable dishes,refrigerated temperature,9.37,low
361,Sweets,refrigerated temperature,6.38,low
362,Cooked rice dish,room temperature(more than 25 C),7.4,very high
363,Dairy-based curries,room temperature(more than 25 C),7.51,very high
364,Non-veg curries,refrigerated temperature,1.49,low
365,Fresh breads,room temperature(more than 25 C),4.68,high
366,Dry vegetable dishes,cool temperature(approx. 18 C),4.41,medium
367,Gravy-based veg curries,refrigerated temperature,7.22,low
368,Sweets,cool temperature(approx. 18 C),8.72,high
369,Dry vegetable dishes,cool temperature(approx. 18 C),10.46,very high
370,Dal/lentils,cool temperature(approx. 18 C),4.71,high
371,Fresh breads,refrigerated temperature,11.39,low
372,Dal/lentils,room temperature(more than 25 C),8.21,very high
373,Sweets,cool temperature(approx. 18 C),11.43,very high
374,Gravy-based veg curries,refrigerated temperature,11.07,low
375,Dal/lentils,room temperature(more than 25 C),11.33,very high
376,Sweets,room temperature(more than 25 C),0.75,medium
377,Sweets,refrigerated temperature,5.79,low
378,Cooked rice dish,cool temperature(approx. 18 C),9.31,very high
379,Fried items,cool temperature(approx. 18 C),8.13,low
380,Fried items,cool temperature(approx. 18 C),2.4,low
381,Dry vegetable dishes,cool temperature(approx. 18 C),8.72,high
382,Dairy-based curries,cool temperature(approx. 18 C),2.07,very high
383,Gravy-based veg curries,refrigerated temperature,0.84,low
384,Dry vegetable dishes,refrigerated temperature,1.23,low
385,Dairy-based curries,refrigerated temperature,3.4,low
386,Fresh breads,cool temperature(approx. 18 C),4.71,medium
387,Cooked rice dish,room temperature(more than 25 C),7.73,very high
388,Dry vegetable dishes,room temperature(more than 25 C),7.69,very high
389,Sweets,cool temperature(approx. 18 C),3.25,low
390,Dairy-based curries,room temperature(more than 25 C),1.67,very high
391,Non-veg curries,room temperature(more than 25 C),2.5,very high
392,Dal/lentils,room temperature(more than 25 C),4.73,very high
393,Non-veg curries,refrigerated temperature,8.79,low
394,Dairy-based curries,refrigerated temperature,7.97,low
395,Sweets,cool temperature(approx. 18 C),1.09,low
396,Cooked rice dish,cool temperature(approx. 18 C),9.65,very high
397,Dal/lentils,refrigerated temperature,6.93,low
398,Gravy-based veg curries,cool temperature(approx. 18 C),1.53,medium
399,Dairy-based curries,cool temperature(approx. 18 C),6.07,very high
400,Cooked rice dish,refrigerated temperature,9.12,low
401,Dal/lentils,room temperature(more than 25 C),11.16,very high
402,Non-veg curries,cool temperature(approx. 18 C),3.3,very high
403,Fresh breads,refrigerated temperature,6.82,low
404,Dairy-based curries,cool temperature(approx. 18 C),10.8,very high
405,Sweets,refrigerated temperature,8.98,low
406,Non-veg curries,cool temperature(approx. 18 C),2.97,very high
407,Fresh breads,room temperature(more than 25 C),8.29,very high
408,Dairy-based curries,refrigerated temperature,3.83,low
409,Dal/lentils,room temperature(more than 25 C),3.27,very high
410,Fresh breads,refrigerated temperature,1.74,low
411,Fried items,refrigerated temperature,10.06,low
412,Fresh breads,room temperature(more than 25 C),11.87,very high
413,Sweets,refrigerated temperature,11.58,low
414,Dal/lentils,cool temperature(approx. 18 C),3.75,medium
415,Dairy-based curries,room temperature(more than 25 C),9.61,very high
416,Fresh breads,room temperature(more than 25 C),9.58,very high
417,Dairy-based curries,cool temperature(approx. 18 C),2.75,very high
418,Fried items,refrigerated temperature,10.15,low
419,Fried items,refrigerated temperature,8.36,low
420,Dal/lentils,room temperature(more than 25 C),0.95,high
421,Gravy-based veg curries,cool temperature(approx. 18 C),5.3,high
422,Dal/lentils,cool temperature(approx. 18 C),2.1,medium
423,Sweets,room temperature(more than 25 C),11.06,very high
424,Cooked rice dish,room temperature(more than 25 C),3.94,very high
425,Gravy-based veg curries,cool temperature(approx. 18 C),11.09,very high
426,Dal/lentils,refrigerated temperature,6.85,low
427,Dry vegetable dishes,cool temperature(approx. 18 C),7.5,medium
428,Dairy-based curries,cool temperature(approx. 18 C),5.41,very high
429,Dry vegetable dishes,refrigerated temperature,2.87,low
430,Fried items,cool temperature(approx. 18 C),4.39,low
431,Gravy-based veg curries,refrigerated temperature,10.84,low
432,Cooked rice dish,room temperature(more than 25 C),10.83,very high
433,Dairy-based curries,refrigerated temperature,9.2,low
434,Fresh breads,cool temperature(approx. 18 C),3.02,low
435,Fried items,refrigerated temperature,4.47,low
436,Fried items,cool temperature(approx. 18 C),3.86,low
437,Dal/lentils,room temperature(more than 25 C),3.21,very high
438,Non-veg curries,room temperature(more than 25 C),1.68,very high
439,Dal/lentils,room temperature(more than 25 C),4.09,very high
440,Gravy-based veg curries,room temperature(more than 25 C),7.56,very high
441,Dry vegetable dishes,refrigerated temperature,10.32,low
442,Fried items,room temperature(more than 25 C),3.78,medium
443,Sweets,cool temperature(approx. 18 C),0.95,low
444,Fresh breads,refrigerated temperature,1.47,low
445,Cooked rice dish,room temperature(more than 25 C),3.47,very high
446,Non-veg curries,refrigerated temperature,4.11,low
447,Non-veg curries,room temperature(more than 25 C),2.78,very high
448,Gravy-based veg curries,refrigerated temperature,10.78,low
449,Cooked rice dish,cool temperature(approx. 18 C),4.89,very high
450,Dry vegetable dishes,cool temperature(approx. 18 C),4.47,medium
451,Sweets,cool temperature(approx. 18 C),11.34,very high
452,Fried items,refrigerated temperature,9.31,low
453,Dry vegetable dishes,room temperature(more than 25 C),10.95,very high
454,Dry vegetable dishes,room temperature(more than 25 C),1.17,medium
455,Sweets,refrigerated temperature,10.74,low
456,Cooked rice dish,refrigerated temperature,2.81,low
457,Fried items,room temperature(more than 25 C),7.17,very high
458,Fried items,refrigerated temperature,10.52,low
459,Gravy-based veg curries,room temperature(more than 25 C),0.29,high
460,Dal/lentils,cool temperature(approx. 18 C),2.42,medium
461,Dry vegetable dishes,cool temperature(approx. 18 C),0.69,low
462,Fried items,cool temperature(approx. 18 C),10.33,low
463,Sweets,cool temperature(approx. 18 C),6.68,medium
464,Dry vegetable dishes,refrigerated temperature,0.24,low
465,Fried items,room temperature(more than 25 C),3.52,medium
466,Fried items,room temperature(more than 25 C),4.63,high
467,Non-veg curries,room temperature(more than 25 C),10.27,very high
468,Fried items,room temperature(more than 25 C),4.55,high
469,Dairy-based curries,refrigerated temperature,9.59,low
470,Fresh breads,refrigerated temperature,8.58,low
471,Dry vegetable dishes,room temperature(more than 25 C),3.91,high
472,Dairy-based curries,cool temperature(approx. 18 C),4.86,very high
473,Dry vegetable dishes,room temperature(more than 25 C),7.84,very high
474,Non-veg curries,cool temperature(approx. 18 C),0.66,high
475,Dairy-based curries,refrigerated temperature,5.27,low
476,Sweets,room temperature(more than 25 C),9.88,very high
477,Gravy-based veg curries,cool temperature(approx. 18 C),6.11,very high
478,Dairy-based curries,cool temperature(approx. 18 C),0.77,high
479,Dry vegetable dishes,room temperature(more than 25 C),7.21,very high
480,Cooked rice dish,refrigerated temperature,1.8,low
481,Fried items,refrigerated temperature,2.91,low
482,Cooked rice dish,refrigerated temperature,6.58,low
483,Dal/lentils,refrigerated temperature,4.58,low
484,Dry vegetable dishes,room temperature(more than 25 C),1.22,medium
485,Gravy-based veg curries,room temperature(more than 25 C),7.58,very high
486,Fresh breads,cool temperature(approx. 18 C),1.74,low
487,Fresh breads,room temperature(more than 25 C),2.03,medium
488,Sweets,room temperature(more than 25 C),5.44,very high
489,Gravy-based veg curries,refrigerated temperature,6.53,low
490,Fried items,cool temperature(approx. 18 C),5.64,low
